model_name,version_name,exterior_colour,interior_colour
DENZA D9,AWD Comfort,Blue,Black&Beige
DENZA D9,AWD Comfort,Black,Black&Brown
DENZA Z9 GT,(30)rear refrigerator+exterior streaming mirror,Silver,Purple + Pellegrino Beige
DENZA Z9 GT,(20)R21+rear refrigerator+Intelligent side door,Black Emerald,Black Coquette + Red Velvet
DENZA Z9 GT,(20)R20+rear refrigerator+Intelligent side door,Silver,Purple + Pellegrino Beige
DENZA Z9 GT,(30)R21,Black Emerald,Black Coquette + Red Velvet
DENZA Z9 GT,(20)R20 ,Green, Black Coquette + Red Velvet 
DENZA Z9 GT,,White,Purple + Pellegrino Beige
ATTO 2,Boost,Climbing grey,Black
ATTO 2,Boost,Cosmos Black,Black
ATTO 2,Boost,Hiking Green,Black
ATTO 2,Boost,Skiing White,Black
ATTO 2,Active,Climbing grey,Black
ATTO 2,Active,Hiking Green,Black
ATTO 2,Active,Skiing White,Black
ATTO 2,Active,Cosmos Black,Black
ATTO 3,Design,Surf Blue,Blue&Grey
ATTO 3,Design,Parkour Red,Blue&Grey
ATTO 3,Comfort,Climbing grey,Blue&Grey
ATTO 3,Design,Green,Blue&Grey
ATTO 3,Design,Red,Blue&Grey
ATTO 3,Design,Climbing grey,
ATTO 3,Comfort,Ski White,Blue&Grey
ATTO 3,Design,Climbing grey,Blue&Grey
ATTO 3 2025,Design,Cosmos Black,Black
ATTO 3 2025,Comfort-LHD,Space Black,Blue&Grey
ATTO 3 2025,Design-LHD,Skiing White,Black
ATTO 3 2025,Design-LHD,Space Black,Black
ATTO 3 2025,Design-LHD,Climbing grey,Blue&Grey
ATTO 3 2025,Design,Surfing Blue,Blue&Grey
ATTO 3 2025,Comfort-LHD,Climbing grey,Black
ATTO 3 2025,Comfort-LHD,Space Black,Black
ATTO 3 2025,Design-LHD,Surfing Blue,Black
DOLPHIN,Design,Surfing Blue + Urban Grey,Blue&Grey
DOLPHIN,Design,Jet Black + Atlantis grey,Black&Grey
DOLPHIN,Comfort,Cream White,Black&Grey
DOLPHIN,,Surfing Blue + Urban Grey,
DOLPHIN,Design,Skiing White + Urban Grey,Black&Grey
DOLPHIN,Design,Skiing white + Urban grey,Blue&Grey
Dolphin Surf,Comfort,Jaune,
Dolphin Surf,Comfort,Noir,
ETP3,-,White,Black
HAN,Executive,Ski White,Red Clay Brown
HAN,Flagship,Green,Green
HAN,,Space Black,Brown
SEAL,Excellence,Shadow green,Black Seal
SEAL,Excellence,Space Black,Black Seal
SEAL,Design,Ice Blue,Tahitian Blue
SEAL,Excellence,Ice Blue,Tahitian Blue
SEAL,,Shadow Green,
SEAL,SEAL Design RWD LHD,Ice Blue,Black
SEAL,SEAL Design RWD LHD,Shadow Green,Black
SEAL,SEAL Excellence-AWD-LHD,Indigo Grey,Black
SEAL,SEAL Excellence-AWD-LHD,Space Black,Black
SEAL U,Design,Time grey,Black
SEAL U,Design,Tianqing,Black
SEAL U DM-i,Boost,Delan Black,Black
SEAL U DM-i,Design,Boundless Cloud,Black
SEAL U DM-i,SEAL U DM-I Design,Delan Black,Black
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK
SEAL U DM-i,SEAL U DM-I Boost,Snow White,Black&Brown
SEAL U DM-i,Boost,Tianqing,Black
SEAL U DM-i,SEAL U DM-I Design,SNOW WHITE,BLACK
SEAL U DM-i,Design,Tianqing,Black
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,Black
SEAL U DM-i,SEAL U DM-I Boost,Time grey,Black
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,Black&Brown
SEAL U DM-i,Boost,Delan Black,Black&Brown
SEAL U DM-i,SEAL U DM-I Boost,BLACK,Delan Black
SEALION 7,Excellence,Space Black,Black
SEALION 7,Excellence,Atlantis Grey,Black
SEALION 7,Excellence,Skiing White,Black
SEALION 7,Sealion 7 Comfort,Indigo Grey,Black
SEALION 7,Sealion 7 Comfort,Atlantis Grey,Black
SEALION 7,Sealion 7 Design,Atlantis Grey,Black
SEALION 7,Sealion 7 Design,Indigo Grey,Black
SEALION 7,Sealion 7 Excellence,Atlantis Grey,Black
SEALION 7,Sealion 7 Comfort,Polar White,Black
SEALION 7,Sealion 7 Design,Polar White,Black
SEALION 7,Sealion 7 Excellence,Polar White,Black
TANG,Flagship,Emperor Red,Brown
TANG,Flagship,White,
TANG ,Flagship,Mountain Grey,
TANG 2024,AWD 7P,Silver Sand Black,Orange
TANG 2024,AWD 7P,Mountain Grey,Black
Yangwang U8,,,
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,
SEAL 6 DM-i Sedan,Polar White,Blue&Black,
SEAL 6 DM-i Sedan,Obsidian Black,Blue&Black,
