model_name,version_name,id,interior_colour,exterior_colour,status,created_time,modified_by,modified_time
SEAL U DM-i,SEAL U DM-I Boost,02a85e8c-b322-4df4-846a-f068ffa8d8c3,Delan Black,BLACK,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Comfort-LHD,062fdb95-30f3-48d1-82b9-11d5b9bd7c1f,Black,Climbing grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Excellence,09e9c6f8-7e45-425a-9327-60e58fe70ca1,Black,Skiing White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,Excellence,0b2c009c-18d3-4468-95d7-cf7991bd1da2,Black Seal,Space Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,SEAL U DM-I Boost,0c6ad5b7-1a51-4f16-a246-d26d0717450e,Black&Brown,Delan Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
TANG,Flagship,0df60ee8-ec5d-43bf-b980-3ab85a460d35,,White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,SEAL U DM-I Boost,0e8413e4-67be-4f57-a702-0eafad955b0f,Black&Brown,Snow White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,Design,156af211-5d84-4f7d-9d51-6179f55800cd,Black,Boundless Cloud,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Design-LHD,1602fa39-fef7-40be-bbf6-262db1e1d4b1,Blue&Grey,Climbing grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,SEAL Design RWD LHD,19ae3ebd-e5cd-4537-af69-163613e5ee8f,Black,Ice Blue,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,SEAL U DM-I Boost,1a51cfdc-6c8d-4411-8089-b5be7d120efc,Black,Delan Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
Dolphin Surf,Comfort,1cef3e03-4e43-4ae8-a675-218c250de4cc,,Noir,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DENZA Z9 GT,(20)R21+rear refrigerator+Intelligent side door,1d078270-e9a9-4aee-8dec-4edbae91d631,Black Coquette + Red Velvet,Black Emerald,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Excellence,1d7f65f5-50a5-41f2-bb3d-60b4fc3e926f,Black,Space Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DOLPHIN,,20bcb66f-5576-40d8-ac54-d1b10106e9cb,,Surfing Blue + Urban Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 2,Boost,21d2610a-2551-4d60-9157-a971ce562e87,Black,Skiing White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3,Design,2233b111-9f09-4038-8848-0469edd657fd,,Climbing grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DENZA Z9 GT,,242c6647-714b-44d1-a58a-76d0308b872b,Purple + Pellegrino Beige,White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
TANG 2024,AWD 7P,24cfbc9f-edde-47f2-9e3a-d19aa81cdee9,Black,Mountain Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DOLPHIN,Comfort,256e9a2b-ab2d-4db4-a8a7-b863651a5993,Black&Grey,Cream White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
"TANG ",Flagship,2b64ca9a-6535-46a1-960c-014b0c2b04ac,,Mountain Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3,Design,336cb6fe-cbaf-445d-b985-bd178bd08ff1,Blue&Grey,Climbing grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Design-LHD,34ec215d-d84c-457a-819b-1357112a3e25,Black,Surfing Blue,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL 6 DM-i Sedan,Obsidian Black,37650b86-b284-47c4-a7c8-a56b9db41f75,,Blue&Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Sealion 7 Excellence,38105d81-9b2b-4387-924c-d7af80870e01,Black,Polar White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Excellence,3cece834-ea9a-46b6-8cd4-891934007f45,Black,Atlantis Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 2,Active,3e7ed8cd-cbf1-4e1d-8cef-304cb0d81aa8,Black,Skiing White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3,Design,40d6a1c9-812c-48b9-b54f-077a24662740,Blue&Grey,Parkour Red,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3,Design,41553bd0-4cde-4956-8fa4-295a6497c9ea,Blue&Grey,Green,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 2,Boost,47e779ed-6b34-4d98-94d5-dec2b4064d12,Black,Cosmos Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DENZA D9,AWD Comfort,48389f0e-547d-4de1-8563-24c58053efda,Black&Brown,Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Sealion 7 Excellence,4a21975e-4efd-4ddc-8b65-d10ff3b53f25,Black,Atlantis Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
HAN,Flagship,4c366ebd-deba-4572-b12e-84c2e2408f0a,Green,Green,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DOLPHIN,Design,4d8b08be-4939-454b-9609-16749c914a45,Blue&Grey,Skiing white + Urban grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,SEAL Design RWD LHD,4e140863-998c-478d-8aa1-4c7636298929,Black,Shadow Green,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL 6 DM-i Sedan,Atlantis Blue,500e660b-ba46-4579-8c5e-f4550dd3621f,,Blue&Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Comfort-LHD,505aa31f-e4b1-4606-a1e7-cbd87a5eab9d,Blue&Grey,Space Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Comfort-LHD,5348ad52-d1fa-4ca7-84d6-a7a65cce7d06,Black,Space Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,Boost,550b4013-e98e-41ed-82ae-0366ffee9612,Black,Delan Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
Yangwang U8,,574fa8d1-ad2d-4e43-8b19-60c137837c1a,,,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL 6 DM-i Wagon,Comfort Lite,5effba2e-7a0b-4bc0-bfc0-58440bfa902a,Blue&black,Atlantis Blue,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Design,61d57e55-b6cd-45e3-9d80-2afbe11d32b7,Blue&Grey,Surfing Blue,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Sealion 7 Comfort,68951440-1c19-467b-bfec-01c53eef41eb,Black,Atlantis Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 2,Active,68ad87db-aa35-4a20-b4c4-56db6b5dd09e,Black,Cosmos Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Design-LHD,6fd74476-9bd6-4cfc-b2e7-a085b391fee9,Black,Space Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3,Design,700f7566-b3b5-4f43-8791-bf5959f95f56,Blue&Grey,Red,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,SEAL U DM-I Design,734793f6-cc81-4bb2-8450-aeaf999b43fd,BLACK,SNOW WHITE,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL 6 DM-i Sedan,Polar White,73791a21-ba66-452b-aca6-48e6f1a5b97c,,Blue&Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3,Comfort,76bac462-0580-460e-bdb6-86b913072a98,Blue&Grey,Ski White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U,Design,77135895-c03e-46bc-b2f3-df49d4896128,Black,Time grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DENZA Z9 GT,(20)R20+rear refrigerator+Intelligent side door,796e48aa-c17c-4258-beda-a840cb21dcb6,Purple + Pellegrino Beige,Silver,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,Boost,7b73458c-33d2-424e-b4d1-de8f89fdb2cd,Black,Tianqing,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
