model_name,version_name,exterior_colour,interior_colour,vin,plate_number,plate_registration_date,km,battery,usage_update_date,key_1,key_2,current_location,model_information
DENZA D9,AWD Comfort,Blue,Black&Beige,LC0DD4C45R0767177,W-297-MR,,,,,,,Reparation,c947efc3-24f5-4686-95a9-27bacfbd92b1
DENZA D9,AWD Comfort,Black,Black&Brown,LC0DD4C43R0640282,W-298-MR,,,,,LSQ,,LSQ,48389f0e-547d-4de1-8563-24c58053efda
DENZA Z9 GT,(30)rear refrigerator+exterior streaming mirror,Silver,Purple + Pellegrino Beige,LC0DD4C43R7163473,W-299-MR,,,,,,,Cannes puis Espagne,7fe8153e-1718-4570-9d15-d9c50969bced
DENZA Z9 GT,(20)R21+rear refrigerator+Intelligent side door,Black Emerald,Black Coquette + Red Velvet,LC0DDA4C5R7171251,,,,,,,,Jamais reçu,1d078270-e9a9-4aee-8dec-4edbae91d631
DENZA Z9 GT,(20)R20+rear refrigerator+Intelligent side door,Silver,Purple + Pellegrino Beige,LC0DDA4C7R7172466,W-302-MR,,,,,,,,796e48aa-c17c-4258-beda-a840cb21dcb6
DENZA Z9 GT,(30)R21,Black Emerald,Black Coquette + Red Velvet,LC0DD4C43R7115939,W-014-NK,,4688.0,,2025-07-23,Bureau FR,,Bureau FR,a18c77b0-deb4-49c8-b41f-7788dfbaaf1e
DENZA Z9 GT ,(20)R20 ,Green, Black Coquette + Red Velvet ,LC0DD4C48R7156079,W-291-MR,,5062.0,,2025-08-13,Bureau FR,,Bureau FR,
DENZA Z9 GT,,White,Purple + Pellegrino Beige,LC0DD4C42R7157194,W-294-MR,,,,,Denza Golf,,Denza Golf,242c6647-714b-44d1-a58a-76d0308b872b
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB7R4555087,HB-953-MS,2025-01-23,3003.0,68.0,2025-08-26,Bureau FR,Bureau FR,Colombes,91cd2e05-1aa8-4e36-a489-b9e866b7fb09
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB3R4689112,HB-237-MT,2025-01-23,1021.0,73.0,2025-07-23,Bureau FR,Bureau FR,Colombes,47e779ed-6b34-4d98-94d5-dec2b4064d12
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB9R4555074,HB-857-MS,2025-01-23,1510.0,66.0,2025-07-23,Bureau FR,Bureau FR,Colombes,821f7122-c1ac-4eb1-abef-64aceea75dde
ATTO 2,Boost,Skiing White,Black,LC0CE4CBXR4555102,HB-099-MT,2025-01-23,,,,Bureau FR,Haikel / Tarek Abbas,Haikel / Tarek Abbas,21d2610a-2551-4d60-9157-a971ce562e87
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB8R4555101,HB-827-MR,2025-01-23,5319.0,,2025-07-23,Bureau FR,LSQ,LSQ,821f7122-c1ac-4eb1-abef-64aceea75dde
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB4R4555080,HB-907-MS,2025-01-23,1800.0,100.0,2025-09-03,Bureau FR,Bureau FR,Bureau FR,91cd2e05-1aa8-4e36-a489-b9e866b7fb09
ATTO 2,Boost,Skiing White,Black,LC0CE4CB4R4543270,HB-061-MT,2025-01-23,,,,LSQ,LSQ,LSQ,21d2610a-2551-4d60-9157-a971ce562e87
